売上日=uriagebi,"売上№=masterid,dempyounum",得意先ｺｰﾄﾞ=customerid,                                                                                                                                            ,
2020/11/4,87813,152,   ,
2020/11/4,87889,751,   ,
2020/11/2,87778,15,   ,
2020/11/2,87993,432,   ,
2020/11/2,87992,762,   ,
2020/10/31,87755,96,   ,
2020/10/31,87756,96,   ,
2020/10/31,87833,126,   ,
2020/10/31,87834,279,   ,
2020/10/31,87729,751,   ,
2020/10/31,87745,751,   ,
2020/10/31,87744,889,   ,
2020/10/30,87801,45,   ,
2020/10/30,87802,45,   ,
2020/10/30,87803,45,   ,
2020/10/30,87757,419,   ,
2020/10/30,87758,419,   ,
2020/10/30,87868,436,   ,
2020/10/30,87753,751,   ,
2020/10/30,87754,751,   ,
2020/10/29,87800,19,   ,
2020/10/29,87870,42,   ,
2020/10/29,87874,332,   ,
2020/10/29,87723,419,   ,
2020/10/29,87720,705,   ,
2020/10/29,87814,881,   ,
2020/10/28,87821,582,   ,
2020/10/28,87855,751,   ,
2020/10/28,87872,876,   ,
2020/10/28,87873,876,   ,
2020/10/27,87832,48,   ,
2020/10/27,87750,207,   ,
2020/10/26,87837,38,   ,
2020/10/26,87825,48,   ,
2020/10/26,87689,1057,   ,
2020/10/25,87672,505,   ,
2020/10/25,87776,505,   ,
2020/10/24,87713,15,   ,
2020/10/24,87843,279,   ,
2020/10/24,87724,751,   ,
2020/10/23,87719,1055,   ,
2020/10/23,87694,1059,   ,
2020/10/23,87695,1059,   ,
2020/10/23,87696,1059,   ,
2020/10/22,87706,15,   ,
2020/10/22,87707,15,   ,
2020/10/22,87710,15,   ,
2020/10/22,87752,15,   ,
2020/10/22,87717,452,   ,
2020/10/22,87822,630,   ,
2020/10/22,87747,751,   ,
2020/10/22,87748,751,   ,
2020/10/22,87687,1013,   ,
2020/10/21,87792,325,   ,
2020/10/20,87714,15,   ,
2020/10/20,87684,45,   ,
2020/10/20,87674,279,   ,
2020/10/20,87682,292,   ,
2020/10/20,87667,378,   ,
2020/10/20,87739,973,   ,
2020/10/20,87743,1060,   ,
2020/10/19,87690,438,   ,
2020/10/19,87842,546,   ,
2020/10/19,87772,652,   ,
2020/10/17,87731,396,   ,
2020/10/17,87736,419,   ,
2020/10/17,87727,751,   ,
2020/10/16,87680,45,   ,
2020/10/16,87681,45,   ,
2020/10/16,87726,751,   ,
2020/10/15,87705,15,   ,
2020/10/15,87790,21,   ,
2020/10/15,87646,259,   ,
2020/10/15,87762,616,   ,
2020/10/15,87785,629,   ,
2020/10/14,87664,48,   ,
2020/10/14,87665,48,   ,
2020/10/14,87869,183,   ,
2020/10/14,87718,974,   ,
2020/10/13,87704,15,   ,
2020/10/13,87875,437,   ,
2020/10/13,87797,975,   ,
2020/10/13,87796,976,   ,
2020/10/12,87730,15,   ,
2020/10/12,87761,141,   ,
2020/10/12,87640,652,   ,
2020/10/12,87643,652,   ,
2020/10/10,87673,279,   ,
2020/10/10,87668,396,   ,
2020/10/10,87789,761,   ,
2020/10/9,87712,15,   ,
2020/10/9,87820,184,   ,
2020/10/9,87636,314,   ,
2020/10/9,87639,483,   ,
2020/10/9,87637,556,   ,
2020/10/9,87749,751,   ,
2020/10/9,87760,751,   ,
2020/10/9,87671,1056,   ,
2020/10/8,87709,15,   ,
2020/10/8,87711,15,   ,
2020/10/8,87669,36,   ,
2020/10/7,87683,65,   ,
2020/10/7,87795,494,   ,
2020/10/7,87734,592,   ,
2020/10/7,87721,728,   ,
2020/10/6,87829,38,   ,
2020/10/6,87716,185,   ,
2020/10/6,87786,433,   ,
2020/10/6,87691,438,   ,
2020/10/6,87787,582,   ,
2020/10/5,87911,1042,   ,
2020/10/5,87635,1052,   ,
2020/10/2,87722,419,   ,
2020/10/2,87728,751,   ,
2020/10/1,87702,15,   ,
2020/9/30,87766,112,   ,
2020/9/30,87767,112,   ,
2020/9/30,87768,112,   ,
2020/9/30,87769,112,   ,
2020/9/30,87770,112,   ,
2020/9/30,87670,546,   ,
2020/9/30,87622,626,   ,
2020/9/30,87623,626,   ,
2020/9/30,87663,630,   ,
2020/9/30,87579,751,   ,
2020/9/30,87592,751,   ,
2020/9/30,87618,764,   ,
2020/9/30,87606,1053,   ,
2020/9/30,87616,1054,   ,
2020/9/29,87632,42,   ,
2020/9/29,87732,657,   ,
2020/9/29,87580,751,   ,
2020/9/29,87582,751,   ,
2020/9/29,87798,1062,   ,
2020/9/28,87679,45,   ,
2020/9/28,87660,122,   ,
2020/9/28,87773,652,   ,
2020/9/28,87737,732,   ,
2020/9/28,87725,751,   ,
2020/9/28,87617,976,   ,
2020/9/25,87700,15,   ,
2020/9/25,87678,38,   ,
2020/9/25,87537,505,   ,
2020/9/25,87613,834,   ,
2020/9/24,87599,15,   ,
2020/9/24,87600,15,   ,
2020/9/24,87610,410,   ,
2020/9/23,87598,15,   ,
2020/9/23,87631,207,   ,
2020/9/23,87715,396,   ,
2020/9/23,87661,518,   ,
2020/9/23,87644,634,   ,
2020/9/23,87583,751,   ,
2020/9/23,87584,751,   ,
2020/9/23,87662,763,   ,
2020/9/20,87567,38,   ,
2020/9/20,87568,38,   ,
2020/9/20,87569,38,   ,
2020/9/20,87565,45,   ,
2020/9/20,87573,60,   ,
2020/9/20,87576,378,   ,
2020/9/20,87578,539,   ,
2020/9/20,87817,816,   ,
2020/9/19,87651,578,   ,
2020/9/19,87611,764,   ,
2020/9/18,87698,15,   ,
2020/9/18,87564,45,   ,
2020/9/18,87634,112,   ,
2020/9/18,87647,494,   ,
2020/9/17,87601,419,   ,
2020/9/17,87566,578,   ,
2020/9/17,87581,751,   ,
2020/9/16,87596,15,   ,
2020/9/16,87738,42,   ,
2020/9/16,87591,751,   ,
2020/9/16,87981,853,   ,
2020/9/15,87612,42,   ,
2020/9/15,87558,152,   ,
2020/9/15,87549,292,   ,
2020/9/15,87587,751,   ,
2020/9/15,87590,751,   ,
2020/9/12,87593,15,   ,
2020/9/12,87686,36,   ,
2020/9/12,87793,138,   ,
2020/9/12,87645,751,   ,
2020/9/11,87597,15,   ,
2020/9/11,87523,45,   ,
2020/9/11,87589,751,   ,
2020/9/10,87552,140,   ,
2020/9/10,87550,354,   ,
2020/9/10,87588,751,   ,
2020/9/10,87557,763,   ,
2020/9/9,87628,15,   ,
2020/9/9,87504,128,   ,
2020/9/9,87505,652,   ,
2020/9/9,87506,652,   ,
2020/9/9,87507,652,   ,
2020/9/8,87524,45,   ,
2020/9/8,87551,140,   ,
2020/9/8,87510,292,   ,
2020/9/8,87536,749,   ,
2020/9/7,87614,207,   ,
2020/9/7,87620,1055,   ,
2020/9/5,87544,38,   ,
2020/9/5,87571,60,   ,
2020/9/5,87532,586,   ,
2020/9/4,87629,15,   ,
2020/9/4,87659,36,   ,
2020/9/3,87626,15,   ,
2020/9/3,87530,48,   ,
2020/9/3,87531,48,   ,
2020/9/3,87572,60,   ,
2020/9/3,87625,259,   ,
2020/9/3,87648,392,   ,
2020/9/2,87594,15,   ,
2020/9/2,87595,15,   ,
2020/9/2,87609,42,   ,
2020/9/2,87521,45,   ,
2020/9/2,87522,45,   ,
2020/9/2,87577,56,   ,
2020/9/2,87534,152,   ,
2020/9/2,87500,518,   ,
2020/9/2,87538,578,   ,
2020/9/2,87541,841,   ,
2020/9/2,87654,845,   ,
2020/9/1,87763,39,   ,
2020/9/1,87527,48,   ,
2020/9/1,87533,152,   ,
2020/9/1,87513,663,   ,
2020/9/1,87514,663,   ,
2020/9/1,87515,663,   ,
2020/8/31,87452,15,   ,
2020/8/31,87471,15,   ,
2020/8/31,87546,36,   ,
2020/8/31,87488,112,   ,
2020/8/31,87487,207,   ,
2020/8/31,87494,259,   ,
2020/8/31,87418,418,   ,
2020/8/31,87461,751,   ,
2020/8/31,87467,751,   ,
2020/8/31,87492,751,   ,
2020/8/29,87478,333,   ,
2020/8/29,87485,616,   ,
2020/8/28,87525,132,   ,
2020/8/28,87735,646,   ,
2020/8/28,87493,751,   ,
2020/8/27,87472,15,   ,
2020/8/27,87529,48,   ,
2020/8/27,87657,403,   ,
2020/8/26,87477,728,   ,
2020/8/26,87499,853,   ,
2020/8/25,87548,38,   ,
2020/8/25,87528,48,   ,
2020/8/25,87484,423,   ,
2020/8/25,87463,505,   ,
2020/8/24,87519,45,   ,
2020/8/24,87555,668,   ,
2020/8/24,87554,692,   ,
2020/8/24,87455,751,   ,
2020/8/24,87475,803,   ,
2020/8/24,87658,956,   ,
2020/8/23,87516,292,   ,
2020/8/22,87627,15,   ,
2020/8/22,87520,45,   ,
